Nombre Cliente,Apellido Cliente,Fecha Nacimiento,Estado Civil,Genero,Correo Electrónico,Ingreso Anual,Numero de Hijos,Nivel Educativo Cliente,Ocupacion,Propietario Casa
STEVEN,KELLY,07/29/1972,Casado,M,steven12@adventure-works.com," 130,000 ",2,Universitaria Completa,Empresario,Si
JUSTIN,SHAN,12/31/1985,Soltero,M,justin27@adventure-works.com," 40,000 ",0,Secundaria Incompleta,Deportista,Si
LUCAS,FLORES,10/03/1986,Casado,M,lucas60@adventure-works.com," 40,000 ",0,Secundaria Completa,Empleado,No
MASON,ROGERS,10/20/1964,Casado,M,mason18@adventure-works.com," 40,000 ",1,Universitaria Incompleta,Deportista,Si
JOSEPH,ANDERSON,08/08/1964,Casado,M,joseph16@adventure-works.com," 40,000 ",1,Universitaria Incompleta,Deportista,Si
JEREMY,YOUNG,09/01/1963,Casado,M,jeremy8@adventure-works.com," 40,000 ",1,Universitaria Incompleta,Deportista,Si
NOAH,SCOTT,05/03/1961,Casado,M,noah42@adventure-works.com," 60,000 ",3,Universitaria Postgrado,Empresario,Si
EDUARDO,ALLEN,06/13/1981,Casado,M,eduardo24@adventure-works.com," 50,000 ",1,Universitaria Postgrado,Empleado,Si
CODY,COOK,12/10/1966,Casado,M,cody21@adventure-works.com," 60,000 ",4,Universitaria Postgrado,Empleado,Si
JON,YE,09/24/1978,Soltero,M,jon29@adventure-works.com," 40,000 ",2,Universitaria Incompleta,Deportista,Si
MIGUEL,BAKER,02/03/1972,Soltero,M,miguel33@adventure-works.com," 30,000 ",3,Universitaria Incompleta,Deportista,Si
ERNEST,XU,06/21/1987,Soltero,M,ernest12@adventure-works.com," 30,000 ",3,Universitaria Incompleta,Deportista,Si
ALEJANDRO,CHEN,03/30/1973,Soltero,M,alejandro4@adventure-works.com," 20,000 ",2,Secundaria Completa,Comerciante,Si
MARTIN,PRASAD,01/19/1978,Casado,M,martin14@adventure-works.com," 50,000 ",0,Universitaria Postgrado,Empleado,Si
SHANNON,NAVARRO,01/24/1963,Casado,M,shannon31@adventure-works.com," 170,000 ",3,Secundaria Completa,Independiente,Si
JON,PAL,06/09/1982,Casado,M,jon8@adventure-works.com," 10,000 ",0,Universitaria Postgrado,Comerciante,Si
CLAYTON,ANDERSEN,01/29/1980,Soltero,M,clayton31@adventure-works.com," 20,000 ",0,Secundaria Incompleta,Comerciante,Si
GERALD,MADAN,08/24/1969,Soltero,M,gerald37@adventure-works.com," 30,000 ",3,Universitaria Postgrado,Deportista,Si
BRANDON,ROBINSON,11/06/1967,Casado,M,brandon48@adventure-works.com," 30,000 ",3,Universitaria Postgrado,Deportista,Si
JULIAN,HENDERSON,09/03/1962,Casado,M,julian6@adventure-works.com," 90,000 ",3,Secundaria Completa,Independiente,Si
RYAN,GARCIA,07/01/1962,Casado,M,ryan52@adventure-works.com," 90,000 ",3,Secundaria Completa,Independiente,Si
ANDY,GOMEZ,08/22/1971,Soltero,M,andy6@adventure-works.com," 60,000 ",3,Universitaria Completa,Independiente,No
BRETT,MALHOTRA,09/18/1967,Soltero,M,brett4@adventure-works.com," 90,000 ",1,Universitaria Completa,Independiente,Si
REGINALD,ALVAREZ,02/01/1966,Soltero,M,reginald12@adventure-works.com," 70,000 ",1,Universitaria Incompleta,Empleado,No
MATHEW,TORRES,12/25/1958,Casado,M,mathew7@adventure-works.com," 30,000 ",3,Universitaria Incompleta,Deportista,No
STEVEN,RIVERA,04/29/1983,Soltero,M,steven26@adventure-works.com," 70,000 ",0,Universitaria Completa,Independiente,No
SHAWN,SHEN,03/13/1988,Casado,M,shawn4@adventure-works.com," 20,000 ",0,Universitaria Completa,Deportista,Si
TROY,SUBRAM,05/10/1973,Soltero,M,troy14@adventure-works.com," 70,000 ",0,Universitaria Completa,Independiente,Si
MARVIN,SANZ,05/15/1971,Soltero,M,marvin20@adventure-works.com," 70,000 ",0,Universitaria Completa,Independiente,No
ANDY,VAZQUEZ,02/02/1970,Soltero,M,andy19@adventure-works.com," 60,000 ",1,Universitaria Incompleta,Empleado,Si
RICKY,GUTIERREZ,05/28/1962,Casado,M,ricky11@adventure-works.com," 80,000 ",2,Universitaria Incompleta,Empleado,Si
WARREN,ZHOU,06/25/1964,Soltero,M,warren24@adventure-works.com," 80,000 ",2,Secundaria Completa,Empleado,Si
DANNY,ORTEGA,01/29/1966,Soltero,M,danny23@adventure-works.com," 70,000 ",2,Secundaria Completa,Independiente,Si
CLARENCE,LIU,02/10/1967,Soltero,M,clarence40@adventure-works.com," 130,000 ",0,Universitaria Postgrado,Empresario,Si
RONNIE,LU,03/29/1984,Casado,M,ronnie9@adventure-works.com," 80,000 ",0,Universitaria Completa,Independiente,Si
DEVON,DENG,01/18/1981,Soltero,M,devon0@adventure-works.com," 90,000 ",0,Universitaria Completa,Independiente,No
GEORGE,FERNANDEZ,10/30/1978,Casado,M,george22@adventure-works.com," 100,000 ",0,Secundaria Completa,Empresario,Si
RAUL,LUO,12/20/1986,Soltero,M,raul6@adventure-works.com," 10,000 ",0,Universitaria Incompleta,Comerciante,No
ERNEST,ZHU,08/21/1987,Casado,M,ernest14@adventure-works.com," 20,000 ",0,Universitaria Completa,Deportista,Si
GEORGE,GARCIA,01/26/1987,Soltero,M,george21@adventure-works.com," 20,000 ",0,Universitaria Completa,Deportista,Si
JOHNATHAN,PEREZ,12/21/1960,Casado,M,johnathan20@adventure-works.com," 30,000 ",3,Secundaria Completa,Empleado,Si
RAFAEL,YUAN,07/30/1979,Casado,M,rafael30@adventure-works.com," 100,000 ",0,Secundaria Completa,Empresario,Si
RODNEY,GUTIERREZ,02/11/1979,Soltero,M,rodney7@adventure-works.com," 120,000 ",0,Secundaria Incompleta,Independiente,Si
TROY,MARTINEZ,07/15/1985,Casado,M,troy19@adventure-works.com," 20,000 ",0,Universitaria Incompleta,Comerciante,Si
FREDERICK,SAI,02/22/1985,Casado,M,frederick5@adventure-works.com," 10,000 ",1,Secundaria Completa,Comerciante,Si
DANNY,SUAREZ,05/06/1987,Soltero,M,danny20@adventure-works.com," 20,000 ",0,Universitaria Completa,Deportista,Si
LUIS,COLLINS,12/08/1957,Casado,M,luis35@adventure-works.com," 60,000 ",2,Universitaria Incompleta,Independiente,Si
XAVIER,GRIFFIN,01/27/1970,Casado,M,xavier61@adventure-works.com," 60,000 ",1,Universitaria Incompleta,Empleado,Si
JORDAN,HENDERSON,02/19/1981,Casado,M,jordan1@adventure-works.com," 80,000 ",0,Universitaria Completa,Empresario,Si
ELIJAH,POWELL,12/26/1981,Soltero,M,elijah12@adventure-works.com," 60,000 ",0,Universitaria Incompleta,Empleado,Si
LUCAS,LEWIS,08/21/1972,Soltero,M,lucas35@adventure-works.com," 60,000 ",4,Universitaria Completa,Empleado,Si
ZACHARY,FLORES,09/04/1970,Casado,M,zachary11@adventure-works.com," 70,000 ",1,Universitaria Completa,Independiente,Si
ISAAC,BROOKS,03/26/1969,Casado,M,isaac1@adventure-works.com," 60,000 ",1,Universitaria Incompleta,Empleado,Si
ANTHONY,RODRIGUEZ,02/09/1981,Casado,M,anthony6@adventure-works.com," 50,000 ",1,Universitaria Postgrado,Empleado,Si
ETHAN,WILLIAMS,11/04/1982,Casado,M,ethan32@adventure-works.com," 50,000 ",0,Secundaria Completa,Independiente,No
JOSHUA,TAYLOR,04/21/1981,Soltero,M,joshua10@adventure-works.com," 60,000 ",0,Universitaria Incompleta,Empleado,Si
LUCAS,BLUE,06/04/1969,Casado,M,lucas85@adventure-works.com," 60,000 ",1,Universitaria Incompleta,Empleado,No
CAMERON,HENDERSON,11/04/1975,Soltero,M,cameron0@adventure-works.com," 60,000 ",0,Universitaria Incompleta,Empleado,No
CARSON,JENKINS,10/11/1966,Soltero,M,carson5@adventure-works.com," 40,000 ",2,Universitaria Incompleta,Deportista,Si
LUCAS,MURPHY,08/08/1977,Casado,M,lucas86@adventure-works.com," 60,000 ",2,Universitaria Completa,Empleado,No
MAURICE,SHARMA,11/27/1963,Casado,M,maurice10@adventure-works.com," 30,000 ",1,Secundaria Completa,Deportista,Si
JAIME,HERNANDEZ,07/19/1967,Soltero,M,jaime46@adventure-works.com," 80,000 ",2,Universitaria Postgrado,Independiente,No
DERRICK,ROMERO,05/15/1967,Soltero,M,derrick9@adventure-works.com," 80,000 ",4,Universitaria Postgrado,Independiente,No
RICHARD,PARKER,02/01/1967,Soltero,M,richard36@adventure-works.com," 80,000 ",5,Universitaria Postgrado,Independiente,No
SEAN,RIVERA,10/23/1966,Casado,M,sean24@adventure-works.com," 80,000 ",5,Universitaria Postgrado,Independiente,Si
EVAN,PEREZ,07/21/1972,Casado,M,evan28@adventure-works.com," 160,000 ",0,Universitaria Completa,Empresario,Si
KYLE,WASHINGTON,06/28/1963,Soltero,M,kyle8@adventure-works.com," 80,000 ",3,Universitaria Incompleta,Independiente,No
AMANDA,PEREZ,06/21/1972,Soltero,F,amanda55@adventure-works.com," 20,000 ",2,Secundaria Completa,Comerciante,Si
VERONICA,SUBRAM,06/11/1972,Soltero,F,veronica14@adventure-works.com," 20,000 ",3,Secundaria Completa,Comerciante,Si
JASMINE,TORRES,08/06/1958,Soltero,F,jasmine32@adventure-works.com," 60,000 ",2,Universitaria Incompleta,Independiente,Si
KRISTI,PEREZ,03/06/1954,Soltero,F,kristi39@adventure-works.com," 70,000 ",5,Universitaria Completa,Empresario,Si
JACQUELINE,POWELL,03/25/1941,Soltero,F,jacqueline9@adventure-works.com," 120,000 ",1,Universitaria Postgrado,Empresario,Si
STEPHANIE,COLLINS,07/11/1973,Casado,F,stephanie52@adventure-works.com," 130,000 ",1,Universitaria Postgrado,Empresario,Si
MARIA,CARTER,05/24/1969,Casado,F,maria53@adventure-works.com," 130,000 ",1,Universitaria Completa,Empresario,Si
HALEY,RICHARDSON,12/24/1943,Soltero,F,haley10@adventure-works.com," 50,000 ",2,Universitaria Postgrado,Empresario,Si
TAMARA,ZHU,12/09/1968,Casado,F,tamara3@adventure-works.com," 40,000 ",3,Universitaria Postgrado,Deportista,Si
MARIAH,WOOD,08/03/1980,Soltero,F,mariah6@adventure-works.com," 40,000 ",1,Universitaria Postgrado,Empleado,Si
TRISHA,LIN,10/05/1949,Soltero,F,trisha2@adventure-works.com," 10,000 ",2,Universitaria Incompleta,Comerciante,Si
MACKENZIE,CAMPBELL,06/22/1972,Soltero,F,mackenzie29@adventure-works.com," 50,000 ",5,Universitaria Completa,Empleado,Si
SIERRA,ROBERTS,08/11/1981,Soltero,F,sierra3@adventure-works.com," 50,000 ",1,Universitaria Postgrado,Empleado,Si
ALLISON,GONZALEZ,12/30/1966,Casado,F,allison31@adventure-works.com," 60,000 ",1,Universitaria Completa,Independiente,Si
HALEY,ALEXANDER,10/26/1973,Soltero,F,haley38@adventure-works.com," 80,000 ",3,Universitaria Completa,Empleado,Si
JANET,DOMINGUEZ,03/01/1979,Casado,F,janet18@adventure-works.com," 70,000 ",4,Universitaria Postgrado,Independiente,Si
JESSICA,ALEXANDER,02/06/1980,Soltero,F,jessica43@adventure-works.com," 60,000 ",1,Universitaria Postgrado,Empleado,Si
ISABEL,JENKINS,04/26/1977,Soltero,F,isabel7@adventure-works.com," 40,000 ",2,Universitaria Completa,Empleado,No
HANNAH,WOOD,08/24/1982,Casado,F,hannah25@adventure-works.com," 30,000 ",0,Universitaria Incompleta,Deportista,No
MARIAH,ROSS,03/30/1957,Casado,F,mariah8@adventure-works.com," 70,000 ",4,Universitaria Incompleta,Independiente,Si
ABIGAIL,FOSTER,08/02/1957,Soltero,F,abigail68@adventure-works.com," 70,000 ",5,Universitaria Incompleta,Independiente,Si
BONNIE,RAJI,03/31/1942,Casado,F,bonnie27@adventure-works.com," 70,000 ",4,Universitaria Postgrado,Empresario,Si
BIANCA,GUO,04/22/1958,Casado,F,bianca14@adventure-works.com," 60,000 ",2,Universitaria Incompleta,Independiente,Si
SUMMER,SMITH,10/19/1973,Soltero,F,summer7@adventure-works.com," 30,000 ",2,Universitaria Incompleta,Deportista,Si
GABRIELLA,LOPEZ,01/01/1965,Soltero,F,gabriella44@adventure-works.com," 80,000 ",3,Universitaria Incompleta,Independiente,Si
ARIANNA,HENDERSON,08/26/1958,Casado,F,arianna5@adventure-works.com," 70,000 ",4,Universitaria Incompleta,Independiente,Si
CHRISTY,ZHOU,12/27/1963,Casado,F,christy8@adventure-works.com," 40,000 ",1,Universitaria Incompleta,Deportista,Si
ABIGAIL,CLARK,07/12/1963,Casado,F,abigail60@adventure-works.com," 40,000 ",1,Universitaria Incompleta,Deportista,Si
BAILEY,ROGERS,01/05/1964,Soltero,F,bailey17@adventure-works.com," 80,000 ",5,Universitaria Postgrado,Empleado,Si
STEPHANIE,BAILEY,01/23/1980,Soltero,F,stephanie12@adventure-works.com," 60,000 ",1,Universitaria Postgrado,Empleado,Si
ALEXANDRA,RICHARDSON,05/21/1974,Soltero,F,alexandra13@adventure-works.com," 60,000 ",0,Universitaria Postgrado,Empleado,Si
PAMELA,SUBRAM,06/19/1959,Soltero,F,pamela16@adventure-works.com," 10,000 ",3,Universitaria Incompleta,Comerciante,Si
MICHELE,LAL,11/22/1952,Soltero,F,michele9@adventure-works.com," 90,000 ",5,Universitaria Incompleta,Independiente,No
DAISY,ROMERO,01/29/1958,Casado,F,daisy5@adventure-works.com," 110,000 ",4,Secundaria Completa,Empresario,Si
STACY,TORRES,01/09/1977,Casado,F,stacy12@adventure-works.com," 30,000 ",1,Universitaria Completa,Deportista,Si
ROSA,ZHANG,12/20/1974,Soltero,F,rosa0@adventure-works.com," 20,000 ",2,Secundaria Completa,Comerciante,Si
CRYSTAL,GAO,05/23/1974,Casado,F,crystal16@adventure-works.com," 30,000 ",1,Universitaria Completa,Empleado,Si
CHELSEA,MARTINEZ,12/13/1976,Casado,F,chelsea19@adventure-works.com," 30,000 ",1,Universitaria Completa,Deportista,Si
LISA,ZHU,12/01/1967,Casado,F,lisa17@adventure-works.com," 30,000 ",3,Universitaria Postgrado,Deportista,Si
MORGAN,BENNETT,07/10/1953,Casado,F,morgan71@adventure-works.com," 110,000 ",3,Universitaria Completa,Empresario,Si
DOMINIQUE,SUBRAM,08/05/1981,Soltero,F,dominique10@adventure-works.com," 50,000 ",0,Universitaria Postgrado,Empleado,No
TAMARA,LUO,06/29/1971,Soltero,F,tamara17@adventure-works.com," 70,000 ",0,Universitaria Completa,Independiente,No
THERESA,DOMINGUEZ,10/20/1951,Casado,F,theresa9@adventure-works.com," 40,000 ",2,Universitaria Completa,Empresario,Si
ADRIENNE,GUTIERREZ,06/30/1960,Soltero,F,adrienne7@adventure-works.com," 30,000 ",3,Secundaria Completa,Empleado,Si
KATELYN,RICHARDSON,01/03/1964,Soltero,F,katelyn8@adventure-works.com," 80,000 ",2,Secundaria Completa,Empleado,No
COLLEEN,RAJE,10/30/1984,Soltero,F,colleen37@adventure-works.com," 70,000 ",0,Universitaria Completa,Independiente,No
PATRICIA,SAUNDERS,04/25/1976,Casado,F,patricia14@adventure-works.com," 60,000 ",2,Universitaria Completa,Independiente,Si
CANDICE,SUN,11/23/1977,Casado,F,candice19@adventure-works.com," 120,000 ",1,Universitaria Postgrado,Empresario,No
SUZANNE,LIU,11/04/1971,Soltero,F,suzanne5@adventure-works.com," 70,000 ",0,Universitaria Completa,Independiente,No
AMY,WU,01/12/1965,Soltero,F,amy14@adventure-works.com," 80,000 ",2,Secundaria Completa,Empleado,No
JANET,BROWNING,03/11/1980,Casado,F,janet21@adventure-works.com," 120,000 ",0,Secundaria Incompleta,Empresario,Si
RILEY,REED,12/27/1985,Casado,F,riley39@adventure-works.com," 10,000 ",0,Secundaria Completa,Comerciante,No
COLLEEN,HARRISON,01/07/1978,Casado,F,colleen19@adventure-works.com," 110,000 ",1,Universitaria Postgrado,Empresario,No
WENDY,CARLSON,10/03/1977,Soltero,F,wendy17@adventure-works.com," 110,000 ",1,Universitaria Postgrado,Empresario,Si
SHARON,RAI,01/18/1975,Soltero,F,sharon23@adventure-works.com," 90,000 ",0,Universitaria Completa,Independiente,Si
VALERIE,SHE,06/25/1974,Casado,F,valerie25@adventure-works.com," 90,000 ",0,Universitaria Completa,Independiente,Si
MINDY,XU,05/08/1974,Casado,F,mindy9@adventure-works.com," 100,000 ",0,Universitaria Completa,Independiente,No
JENNY,ANDERSEN,12/15/1971,Soltero,NA,jenny35@adventure-works.com," 70,000 ",0,Universitaria Completa,Independiente,No
CARA,ZENG,11/30/1963,Soltero,F,cara18@adventure-works.com," 80,000 ",2,Secundaria Completa,Empleado,Si
KELLI,ANAND,08/01/1965,Soltero,F,kelli45@adventure-works.com," 70,000 ",2,Secundaria Completa,Independiente,Si
JOCELYN,COLEMAN,10/12/1982,Casado,F,jocelyn6@adventure-works.com," 70,000 ",0,Universitaria Completa,Independiente,Si
VICTORIA,COOK,04/23/1979,Soltero,F,victoria29@adventure-works.com," 90,000 ",0,Universitaria Completa,Independiente,No
MEREDITH,ALONSO,04/24/1980,Casado,F,meredith31@adventure-works.com," 120,000 ",0,Secundaria Incompleta,Independiente,No
THERESA,NAVARRO,06/19/1978,Casado,F,theresa7@adventure-works.com," 110,000 ",0,Secundaria Completa,Empresario,Si
SABRINA,RUBIO,07/29/1988,Casado,F,sabrina15@adventure-works.com," 10,000 ",0,Universitaria Incompleta,Comerciante,No
AUTUMN,LIU,04/04/1988,Casado,F,autumn4@adventure-works.com," 20,000 ",0,Universitaria Completa,Deportista,Si
ANNA,MARTIN,06/10/1985,Casado,F,anna52@adventure-works.com," 10,000 ",0,Secundaria Completa,Comerciante,No
CAITLIN,RICHARDSON,05/14/1962,Casado,F,caitlin7@adventure-works.com," 60,000 ",2,Secundaria Incompleta,Empleado,No
MEGAN,FLORES,09/01/1949,Soltero,F,megan61@adventure-works.com," 50,000 ",4,Universitaria Completa,Empresario,No
ALEXANDRA,THOMAS,11/20/1978,Casado,F,alexandra74@adventure-works.com," 60,000 ",1,Universitaria Postgrado,Independiente,Si
VANESSA,WASHINGTON,07/01/1981,Casado,NA,vanessa14@adventure-works.com," 40,000 ",0,Universitaria Postgrado,Empleado,Si
KAITLYN,RUSSELL,07/22/1988,Soltero,F,kaitlyn87@adventure-works.com," 30,000 ",0,Secundaria Completa,Empleado,No
VICTORIA,GARCIA,07/15/1987,Soltero,F,victoria17@adventure-works.com," 30,000 ",0,Secundaria Incompleta,Deportista,No
MORGAN,HALL,03/04/1987,Soltero,F,morgan20@adventure-works.com," 40,000 ",0,Secundaria Completa,Empleado,No
NATALIE,ROBERTS,09/20/1975,Soltero,F,natalie47@adventure-works.com," 60,000 ",0,Universitaria Incompleta,Empleado,No
KAYLA,FLORES,08/05/1982,Soltero,F,kayla36@adventure-works.com," 50,000 ",0,Universitaria Postgrado,Empleado,Si
MARIAH,MURPHY,09/09/1978,Casado,F,mariah39@adventure-works.com," 40,000 ",1,Universitaria Completa,Empleado,Si
ASHLEY,BARNES,01/08/1976,Soltero,F,ashley29@adventure-works.com," 60,000 ",0,Universitaria Postgrado,Independiente,No
KATELYN,JAMES,04/14/1964,Casado,F,katelyn6@adventure-works.com," 60,000 ",2,Secundaria Completa,Independiente,Si
AMBER,LOPEZ,01/29/1965,Casado,F,amber21@adventure-works.com," 60,000 ",2,Secundaria Completa,Independiente,No
TAYLOR,THOMAS,08/01/1961,Soltero,F,taylor58@adventure-works.com," 70,000 ",3,Universitaria Postgrado,Empresario,No
JONATHAN,PHILLIPS,11/06/1971,Soltero,M,jonathan35@adventure-works.com," 90,000 ",0,Universitaria Incompleta,Independiente,No
AIDAN,ROSS,06/29/1967,Soltero,M,aidan4@adventure-works.com," 60,000 ",4,Universitaria Postgrado,Empleado,No
JASON,MITCHELL,07/05/1976,Soltero,M,jason40@adventure-works.com," 60,000 ",2,Universitaria Postgrado,Independiente,No
AIDAN,PERRY,10/24/1955,Casado,M,aidan8@adventure-works.com," 60,000 ",5,Universitaria Completa,Empresario,No
ROBERT,HERNANDEZ,01/10/1962,Soltero,M,robert60@adventure-works.com," 20,000 ",2,Secundaria Completa,Comerciante,No
CARL,RAJI,06/02/1971,Soltero,M,carl20@adventure-works.com," 70,000 ",0,Universitaria Completa,Independiente,No
DARRYL,LIU,08/12/1983,Soltero,M,darryl4@adventure-works.com," 70,000 ",0,Universitaria Completa,Independiente,No
JAY,MADAN,07/06/1985,Soltero,M,jay14@adventure-works.com," 10,000 ",0,Secundaria Completa,Comerciante,No
CHRISTOPHER,THOMAS,09/23/1939,Casado,M,christopher11@adventure-works.com," 120,000 ",5,Universitaria Postgrado,Empresario,No
PRESTON,PRASAD,05/05/1988,Soltero,M,preston8@adventure-works.com," 10,000 ",0,Universitaria Incompleta,Comerciante,No
MITCHELL,XIE,07/01/1987,Soltero,M,mitchell3@adventure-works.com," 20,000 ",0,Universitaria Completa,Deportista,No
JUSTIN,GRIFFIN,05/23/1982,Soltero,M,justin18@adventure-works.com," 50,000 ",0,Secundaria Completa,Empleado,No
JARED,MOYER,04/29/1966,Casado,M,jared16@adventure-works.com," 60,000 ",1,Universitaria Completa,Independiente,No
JARED,COOK,01/01/1976,Soltero,M,jared23@adventure-works.com," 10,000 ",3,Secundaria Completa,Comerciante,Si
TREVOR,BRYANT,03/05/1966,Soltero,M,trevor18@adventure-works.com," 90,000 ",2,Universitaria Incompleta,Independiente,Si
BRADLEY,NARA,01/14/1965,Casado,M,bradley19@adventure-works.com," 20,000 ",1,Universitaria Completa,Deportista,Si
HUNTER,GRIFFIN,05/20/1970,Casado,M,hunter16@adventure-works.com," 170,000 ",0,Universitaria Postgrado,Empresario,Si
ORLANDO,VAZQUEZ,06/18/1944,Casado,M,orlando14@adventure-works.com," 70,000 ",4,Universitaria Postgrado,Empresario,Si
ZACHARY,ANDERSON,07/31/1947,Casado,M,zachary39@adventure-works.com," 90,000 ",5,Universitaria Completa,Empresario,Si
ELIJAH,ROSS,09/18/1947,Soltero,M,elijah7@adventure-works.com," 90,000 ",5,Universitaria Completa,Empresario,Si
ROBERTO,SANZ,02/06/1971,Casado,M,roberto18@adventure-works.com," 40,000 ",1,Universitaria Completa,Empleado,Si
DEVIN,NELSON,09/19/1966,Casado,M,devin32@adventure-works.com," 60,000 ",4,Universitaria Postgrado,Empleado,Si
SETH,MITCHELL,09/19/1981,Casado,M,seth38@adventure-works.com," 50,000 ",1,Universitaria Postgrado,Empleado,Si
MARVIN,MORENO,08/30/1976,Casado,M,marvin7@adventure-works.com," 40,000 ",0,Universitaria Postgrado,Deportista,Si
DEVIN,HENDERSON,10/19/1988,Casado,M,devin43@adventure-works.com," 30,000 ",0,Secundaria Completa,Empleado,Si
GABRIEL,GREEN,06/22/1983,Soltero,M,gabriel45@adventure-works.com," 60,000 ",0,Universitaria Incompleta,Empleado,Si
SETH,MARTIN,08/24/1983,Casado,M,seth15@adventure-works.com," 40,000 ",0,Secundaria Completa,Empleado,Si
JAMES,WALKER,05/12/1958,Casado,M,james96@adventure-works.com," 60,000 ",2,Universitaria Incompleta,Independiente,Si
ROBERT,ADAMS,05/01/1977,Casado,M,robert57@adventure-works.com," 50,000 ",2,Universitaria Completa,Empleado,Si
IAN,RODRIGUEZ,04/02/1949,Casado,M,ian18@adventure-works.com," 130,000 ",2,Universitaria Completa,Empresario,Si
JONATHAN,ANDERSON,11/01/1979,Casado,M,jonathan62@adventure-works.com," 60,000 ",1,Universitaria Postgrado,Empleado,Si
JOHNATHAN,CHAPMAN,08/12/1962,Casado,M,johnathan3@adventure-works.com," 30,000 ",1,Secundaria Completa,Deportista,Si
CHARLES,EVANS,12/10/1963,Casado,M,charles44@adventure-works.com," 40,000 ",1,Universitaria Incompleta,Deportista,Si
