Fecha Orden,Numero de Orden,Unidades Vendidas,Monto de Venta,Nombre Tienda,SKU Producto,Correo Electrónico
01/16/2015,SO45166,1,3578.27,AW Arequipa,BK-R93R-48,steven26@adventure-works.com
02/04/2015,SO45370,1,3578.27,AW Arequipa,BK-R93R-48,shawn4@adventure-works.com
02/06/2015,SO45386,1,3578.27,AW Arequipa,BK-R93R-48,troy14@adventure-works.com
02/10/2015,SO45409,1,3578.27,AW Arequipa,BK-R93R-48,marvin20@adventure-works.com
03/25/2015,SO45742,1,3578.27,AW Arequipa,BK-R93R-48,andy19@adventure-works.com
03/17/2015,SO45689,1,3578.27,AW Arequipa,BK-R93R-48,ricky11@adventure-works.com
03/11/2015,SO45648,1,3578.27,AW Arequipa,BK-R93R-48,warren24@adventure-works.com
03/03/2015,SO45599,1,3578.27,AW Arequipa,BK-R93R-48,danny23@adventure-works.com
03/13/2015,SO45660,1,3578.27,AW Arequipa,BK-R93R-48,clarence40@adventure-works.com
03/16/2015,SO45682,1,3578.27,AW Arequipa,BK-R93R-48,ronnie9@adventure-works.com
03/04/2015,SO45606,1,3578.27,AW Arequipa,BK-R93R-48,devon0@adventure-works.com
04/21/2015,SO45950,1,3578.27,AW Arequipa,BK-R93R-48,george22@adventure-works.com
04/06/2015,SO45849,1,3578.27,AW Arequipa,BK-R93R-48,raul6@adventure-works.com
04/15/2015,SO45906,1,3578.27,AW Arequipa,BK-R93R-48,ernest14@adventure-works.com
04/01/2015,SO45819,1,3578.27,AW Arequipa,BK-R93R-48,george21@adventure-works.com
05/04/2015,SO46136,1,3578.27,AW Arequipa,BK-R93R-48,johnathan20@adventure-works.com
06/24/2015,SO46561,1,3578.27,AW Arequipa,BK-R93R-48,rafael30@adventure-works.com
06/15/2015,SO46488,1,3578.27,AW Arequipa,BK-R93R-48,rodney7@adventure-works.com
06/30/2015,SO46602,1,3578.27,AW Arequipa,BK-R93R-48,troy19@adventure-works.com
06/07/2015,SO46433,1,3578.27,AW Arequipa,BK-R93R-48,frederick5@adventure-works.com
06/01/2015,SO46391,1,3578.27,AW Arequipa,BK-R93R-48,danny20@adventure-works.com
01/06/2015,SO45105,1,3578.27,AW Mall del Sur,BK-R93R-48,luis35@adventure-works.com
01/30/2015,SO45252,1,3578.27,AW Mall del Sur,BK-R93R-48,xavier61@adventure-works.com
02/05/2015,SO45374,1,3578.27,AW Mall del Sur,BK-R93R-48,jordan1@adventure-works.com
02/19/2015,SO45456,1,3578.27,AW Mall del Sur,BK-R93R-48,elijah12@adventure-works.com
02/10/2015,SO45405,1,3578.27,AW Mall del Sur,BK-R93R-48,lucas35@adventure-works.com
03/26/2015,SO45746,1,3578.27,AW Mall del Sur,BK-R93R-48,zachary11@adventure-works.com
03/06/2015,SO45614,1,3578.27,AW Mall del Sur,BK-R93R-48,isaac1@adventure-works.com
04/08/2015,SO45860,1,3578.27,AW Mall del Sur,BK-R93R-48,anthony6@adventure-works.com
05/23/2015,SO46270,1,3578.27,AW Mall del Sur,BK-R93R-48,ethan32@adventure-works.com
02/14/2015,SO45436,1,3578.27,AW Mall del Sur,BK-R93R-48,joshua10@adventure-works.com
02/14/2015,SO45437,1,3578.27,AW Mall del Sur,BK-R93R-48,lucas85@adventure-works.com
02/22/2015,SO45470,1,3578.27,AW Mall del Sur,BK-R93R-48,cameron0@adventure-works.com
02/17/2015,SO45450,1,3578.27,AW Mall del Sur,BK-R93R-48,carson5@adventure-works.com
03/01/2015,SO45582,1,3578.27,AW Mall del Sur,BK-R93R-48,lucas86@adventure-works.com
02/02/2015,SO45355,1,3578.27,AW Mall del Sur,BK-R93R-48,maurice10@adventure-works.com
01/13/2015,SO45147,1,3578.27,AW Breña,BK-R93R-48,jaime46@adventure-works.com
01/21/2015,SO45201,1,3578.27,AW Breña,BK-R93R-48,derrick9@adventure-works.com
01/04/2015,SO45099,1,3578.27,AW Comas,BK-R93R-48,richard36@adventure-works.com
01/31/2015,SO45261,1,3578.27,AW Comas,BK-R93R-48,sean24@adventure-works.com
01/12/2015,SO45141,1,3578.27,AW Breña,BK-R93R-48,evan28@adventure-works.com
01/01/2015,SO45079,1,3578.27,AW Breña,BK-R93R-48,kyle8@adventure-works.com
01/04/2015,SO45096,1,3578.27,AW Lurin,BK-R93R-48,amanda55@adventure-works.com
01/12/2015,SO45140,1,3578.27,AW Lurin,BK-R93R-48,veronica14@adventure-works.com
02/15/2015,SO45441,1,3578.27,AW Comas,BK-R93R-48,jasmine32@adventure-works.com
02/11/2015,SO45413,1,3578.27,AW Breña,BK-R93R-48,kristi39@adventure-works.com
02/24/2015,SO45485,1,3578.27,AW Breña,BK-R93R-48,jacqueline9@adventure-works.com
03/30/2015,SO45774,1,3578.27,AW Breña,BK-R93R-48,stephanie52@adventure-works.com
03/11/2015,SO45646,1,3578.27,AW Breña,BK-R93R-48,maria53@adventure-works.com
03/04/2015,SO45603,1,3578.27,AW Comas,BK-R93R-48,haley10@adventure-works.com
03/04/2015,SO45602,1,3578.27,AW Lurin,BK-R93R-48,tamara3@adventure-works.com
03/15/2015,SO45671,1,3578.27,AW Breña,BK-R93R-48,mariah6@adventure-works.com
03/28/2015,SO45757,1,3578.27,AW Lurin,BK-R93R-48,trisha2@adventure-works.com
04/03/2015,SO45824,1,3578.27,AW Comas,BK-R93R-48,mackenzie29@adventure-works.com
04/05/2015,SO45843,1,3578.27,AW Breña,BK-R93R-48,sierra3@adventure-works.com
04/12/2015,SO45882,1,3578.27,AW Comas,BK-R93R-48,allison31@adventure-works.com
04/15/2015,SO45900,1,3578.27,AW Breña,BK-R93R-48,haley38@adventure-works.com
04/15/2015,SO45901,1,3578.27,AW Breña,BK-R93R-48,janet18@adventure-works.com
04/17/2015,SO45919,1,3578.27,AW Comas,BK-R93R-48,jessica43@adventure-works.com
04/18/2015,SO45927,1,3578.27,AW Breña,BK-R93R-48,isabel7@adventure-works.com
04/23/2015,SO45961,1,3578.27,AW Lurin,BK-R93R-48,hannah25@adventure-works.com
05/01/2015,SO46115,1,3578.27,AW Breña,BK-R93R-48,mariah8@adventure-works.com
05/04/2015,SO46133,1,3578.27,AW Breña,BK-R93R-48,abigail68@adventure-works.com
05/09/2015,SO46170,1,3578.27,AW Breña,BK-R93R-48,bonnie27@adventure-works.com
05/17/2015,SO46234,1,3578.27,AW Breña,BK-R93R-48,bianca14@adventure-works.com
05/17/2015,SO46237,1,3578.27,AW Lurin,BK-R93R-48,summer7@adventure-works.com
05/24/2015,SO46279,1,3578.27,AW Comas,BK-R93R-48,gabriella44@adventure-works.com
05/30/2015,SO46314,1,3578.27,AW Breña,BK-R93R-48,arianna5@adventure-works.com
06/06/2015,SO46424,1,3578.27,AW Breña,BK-R93R-48,christy8@adventure-works.com
06/09/2015,SO46445,1,3578.27,AW Comas,BK-R93R-48,abigail60@adventure-works.com
06/11/2015,SO46460,1,3578.27,AW Breña,BK-R93R-48,bailey17@adventure-works.com
06/15/2015,SO46483,1,3578.27,AW Breña,BK-R93R-48,stephanie12@adventure-works.com
06/25/2015,SO46568,1,3578.27,AW Comas,BK-R93R-48,alexandra13@adventure-works.com
02/14/2015,SO45432,1,3578.27,AW Trujillo,BK-R93R-48,pamela16@adventure-works.com
02/08/2015,SO45393,1,3578.27,AW Trujillo,BK-R93R-48,michele9@adventure-works.com
02/15/2015,SO45440,1,3578.27,AW Trujillo,BK-R93R-48,daisy5@adventure-works.com
03/20/2015,SO45704,1,3578.27,AW Trujillo,BK-R93R-48,stacy12@adventure-works.com
03/23/2015,SO45725,1,3578.27,AW Trujillo,BK-R93R-48,rosa0@adventure-works.com
03/05/2015,SO45612,1,3578.27,AW Trujillo,BK-R93R-48,crystal16@adventure-works.com
05/18/2015,SO46239,1,3578.27,AW Trujillo,BK-R93R-48,chelsea19@adventure-works.com
02/09/2015,SO45398,1,3578.27,AW Huancayo,BK-R93R-48,lisa17@adventure-works.com
03/18/2015,SO45694,1,3578.27,AW Huancayo,BK-R93R-48,morgan71@adventure-works.com
04/07/2015,SO45854,1,3578.27,AW Huancayo,BK-R93R-48,dominique10@adventure-works.com
01/16/2015,SO45168,1,3578.27,AW Arequipa,BK-R93R-48,tamara17@adventure-works.com
01/18/2015,SO45182,1,3578.27,AW Arequipa,BK-R93R-48,theresa9@adventure-works.com
01/03/2015,SO45093,1,3578.27,AW Arequipa,BK-R93R-48,adrienne7@adventure-works.com
01/24/2015,SO45223,1,3578.27,AW Arequipa,BK-R93R-48,katelyn8@adventure-works.com
01/11/2015,SO45136,1,3578.27,AW Arequipa,BK-R93R-48,colleen37@adventure-works.com
02/03/2015,SO45363,1,3578.27,AW Arequipa,BK-R93R-48,patricia14@adventure-works.com
02/01/2015,SO45349,1,3578.27,AW Arequipa,BK-R93R-48,candice19@adventure-works.com
02/08/2015,SO45396,1,3578.27,AW Arequipa,BK-R93R-48,suzanne5@adventure-works.com
03/15/2015,SO45673,1,3578.27,AW Arequipa,BK-R93R-48,amy14@adventure-works.com
04/22/2015,SO45956,1,3578.27,AW Arequipa,BK-R93R-48,janet21@adventure-works.com
04/09/2015,SO45865,1,3578.27,AW Arequipa,BK-R93R-48,riley39@adventure-works.com
04/20/2015,SO45942,1,3578.27,AW Arequipa,BK-R93R-48,colleen19@adventure-works.com
04/29/2015,SO46007,1,3578.27,AW Arequipa,BK-R93R-48,wendy17@adventure-works.com
04/20/2015,SO45944,1,3578.27,AW Arequipa,BK-R93R-48,sharon23@adventure-works.com
04/13/2015,SO45892,1,3578.27,AW Arequipa,BK-R93R-48,valerie25@adventure-works.com
04/02/2015,SO45822,1,3578.27,AW Arequipa,BK-R93R-48,mindy9@adventure-works.com
05/04/2015,SO46134,1,3578.27,AW Arequipa,BK-R93R-48,jenny35@adventure-works.com
05/30/2015,SO46318,1,3578.27,AW Arequipa,BK-R93R-48,cara18@adventure-works.com
05/20/2015,SO46255,1,3578.27,AW Arequipa,BK-R93R-48,kelli45@adventure-works.com
05/12/2015,SO46189,1,3578.27,AW Arequipa,BK-R93R-48,jocelyn6@adventure-works.com
06/21/2015,SO46534,1,3578.27,AW Arequipa,BK-R93R-48,victoria29@adventure-works.com
06/08/2015,SO46440,1,3578.27,AW Arequipa,BK-R93R-48,meredith31@adventure-works.com
06/17/2015,SO46496,1,3578.27,AW Arequipa,BK-R93R-48,theresa7@adventure-works.com
06/09/2015,SO46447,1,3578.27,AW Arequipa,BK-R93R-48,sabrina15@adventure-works.com
06/23/2015,SO46553,1,3578.27,AW Arequipa,BK-R93R-48,autumn4@adventure-works.com
06/05/2015,SO46418,1,3578.27,AW Arequipa,BK-R93R-48,anna52@adventure-works.com
02/03/2015,SO45361,1,3578.27,AW Mall del Sur,BK-R93R-48,caitlin7@adventure-works.com
02/18/2015,SO45454,1,3578.27,AW Mall del Sur,BK-R93R-48,megan61@adventure-works.com
02/03/2015,SO45358,1,3578.27,AW Mall del Sur,BK-R93R-48,alexandra74@adventure-works.com
04/16/2015,SO45912,1,3578.27,AW Mall del Sur,BK-R93R-48,vanessa14@adventure-works.com
06/19/2015,SO46520,1,3578.27,AW Mall del Sur,BK-R93R-48,kaitlyn87@adventure-works.com
06/29/2015,SO46590,1,3578.27,AW Mall del Sur,BK-R93R-48,victoria17@adventure-works.com
02/11/2015,SO45415,1,3578.27,AW Mall del Sur,BK-R93R-48,morgan20@adventure-works.com
02/13/2015,SO45430,1,3578.27,AW Mall del Sur,BK-R93R-48,natalie47@adventure-works.com
02/26/2015,SO45498,1,3578.27,AW Mall del Sur,BK-R93R-48,kayla36@adventure-works.com
03/12/2015,SO45650,1,3578.27,AW Mall del Sur,BK-R93R-48,mariah39@adventure-works.com
01/22/2015,SO45207,1,3578.27,AW Breña,BK-R93R-48,ashley29@adventure-works.com
01/24/2015,SO45220,1,3578.27,AW Comas,BK-R93R-48,katelyn6@adventure-works.com
01/23/2015,SO45215,1,3578.27,AW Comas,BK-R93R-48,amber21@adventure-works.com
01/06/2015,SO45107,1,3578.27,AW Breña,BK-R93R-48,taylor58@adventure-works.com
03/19/2015,SO45700,1,3578.27,AW Comas,BK-R93R-62,jonathan35@adventure-works.com
03/15/2015,SO45670,1,3578.27,AW Comas,BK-R93R-62,aidan4@adventure-works.com
04/27/2015,SO45987,1,3578.27,AW Breña,BK-R93R-62,jason40@adventure-works.com
05/11/2015,SO46180,1,3578.27,AW Comas,BK-R93R-62,aidan8@adventure-works.com
06/23/2015,SO46548,1,3578.27,AW Comas,BK-R93R-62,robert60@adventure-works.com
02/22/2015,SO45474,1,3578.27,AW Arequipa,BK-R93R-62,carl20@adventure-works.com
03/19/2015,SO45703,1,3578.27,AW Arequipa,BK-R93R-62,darryl4@adventure-works.com
04/24/2015,SO45969,1,3578.27,AW Arequipa,BK-R93R-62,jay14@adventure-works.com
04/11/2015,SO45875,1,3578.27,AW Arequipa,BK-R93R-62,christopher11@adventure-works.com
06/10/2015,SO46454,1,3578.27,AW Arequipa,BK-R93R-62,preston8@adventure-works.com
06/02/2015,SO46401,1,3578.27,AW Arequipa,BK-R93R-62,mitchell3@adventure-works.com
02/13/2015,SO45429,1,3578.27,AW Mall del Sur,BK-R93R-62,justin18@adventure-works.com
02/12/2015,SO45422,1,3578.27,AW Mall del Sur,BK-R93R-62,jared16@adventure-works.com
01/23/2015,SO45214,1,3578.27,AW Lurin,BK-R93R-62,jared23@adventure-works.com
02/07/2015,SO45389,1,3578.27,AW Breña,BK-R93R-62,trevor18@adventure-works.com
02/14/2015,SO45433,1,3578.27,AW Lurin,BK-R93R-62,bradley19@adventure-works.com
03/24/2015,SO45731,1,3578.27,AW Breña,BK-R93R-62,hunter16@adventure-works.com
03/29/2015,SO45767,1,3578.27,AW Breña,BK-R93R-62,orlando14@adventure-works.com
03/29/2015,SO45768,1,3578.27,AW Breña,BK-R93R-62,zachary39@adventure-works.com
03/22/2015,SO45717,1,3578.27,AW Comas,BK-R93R-62,elijah7@adventure-works.com
02/27/2015,SO45508,1,3578.27,AW Lurin,BK-R93R-62,roberto18@adventure-works.com
03/05/2015,SO45611,1,3578.27,AW Comas,BK-R93R-62,devin32@adventure-works.com
04/07/2015,SO45850,1,3578.27,AW Breña,BK-R93R-62,seth38@adventure-works.com
04/26/2015,SO45981,1,3578.27,AW Lurin,BK-R93R-62,marvin7@adventure-works.com
05/01/2015,SO46108,1,3578.27,AW Breña,BK-R93R-62,devin43@adventure-works.com
05/01/2015,SO46113,1,3578.27,AW Breña,BK-R93R-62,gabriel45@adventure-works.com
05/12/2015,SO46186,1,3578.27,AW Comas,BK-R93R-62,seth15@adventure-works.com
05/21/2015,SO46260,1,3578.27,AW Comas,BK-R93R-62,james96@adventure-works.com
06/07/2015,SO46431,1,3578.27,AW Comas,BK-R93R-62,robert57@adventure-works.com
06/10/2015,SO46451,1,3578.27,AW Breña,BK-R93R-62,ian18@adventure-works.com
06/12/2015,SO46464,1,3578.27,AW Breña,BK-R93R-62,jonathan62@adventure-works.com
06/14/2015,SO46479,1,3578.27,AW Breña,BK-R93R-62,johnathan3@adventure-works.com
06/20/2015,SO46521,1,3578.27,AW Breña,BK-R93R-62,charles44@adventure-works.com
06/23/2015,SO46546,1,3578.27,AW Comas,BK-R93R-62,jeremy39@adventure-works.com
06/24/2015,SO46559,1,3578.27,AW Breña,BK-R93R-62,jonathan60@adventure-works.com
06/24/2015,SO46557,1,3578.27,AW Breña,BK-R93R-62,thomas35@adventure-works.com
06/27/2015,SO46580,1,3578.27,AW Breña,BK-R93R-62,ruben14@adventure-works.com
01/30/2015,SO45250,1,3578.27,AW Trujillo,BK-R93R-62,marcus83@adventure-works.com
02/27/2015,SO45509,1,3578.27,AW Trujillo,BK-R93R-62,shaun10@adventure-works.com
02/11/2015,SO45410,1,3578.27,AW Trujillo,BK-R93R-62,donald10@adventure-works.com
03/11/2015,SO45643,1,3578.27,AW Trujillo,BK-R93R-62,douglas5@adventure-works.com
01/30/2015,SO45249,1,3578.27,AW Huancayo,BK-R93R-62,roy3@adventure-works.com
01/18/2015,SO45181,1,3578.27,AW Huancayo,BK-R93R-62,peter27@adventure-works.com
01/18/2015,SO45185,1,3578.27,AW Huancayo,BK-R93R-62,steve10@adventure-works.com
06/12/2015,SO46471,1,3578.27,AW Trujillo,BK-R93R-62,rodney12@adventure-works.com
02/10/2015,SO45401,1,3578.27,AW Huancayo,BK-R93R-62,julio20@adventure-works.com
03/03/2015,SO45593,1,3578.27,AW Huancayo,BK-R93R-62,nelson21@adventure-works.com
04/15/2015,SO45903,1,3578.27,AW Huancayo,BK-R93R-62,levi12@adventure-works.com
01/29/2015,SO45246,1,3578.27,AW Arequipa,BK-R93R-62,darren25@adventure-works.com
02/07/2015,SO45390,1,3578.27,AW Arequipa,BK-R93R-62,randall1@adventure-works.com
02/24/2015,SO45489,1,3578.27,AW Arequipa,BK-R93R-62,stanley8@adventure-works.com
02/19/2015,SO45459,1,3578.27,AW Arequipa,BK-R93R-62,brad10@adventure-works.com
03/28/2015,SO45764,1,3578.27,AW Arequipa,BK-R93R-62,douglas23@adventure-works.com
03/21/2015,SO45716,1,3578.27,AW Arequipa,BK-R93R-62,tony10@adventure-works.com
03/24/2015,SO45736,1,3578.27,AW Arequipa,BK-R93R-62,phil0@adventure-works.com
03/20/2015,SO45710,1,3578.27,AW Arequipa,BK-R93R-62,geoffrey13@adventure-works.com
04/20/2015,SO45941,1,3578.27,AW Arequipa,BK-R93R-62,marshall28@adventure-works.com
04/18/2015,SO45932,1,3578.27,AW Arequipa,BK-R93R-62,scott10@adventure-works.com
04/23/2015,SO45962,1,3578.27,AW Arequipa,BK-R93R-62,louis38@adventure-works.com
04/03/2015,SO45829,1,3578.27,AW Arequipa,BK-R93R-62,darren7@adventure-works.com
05/13/2015,SO46200,1,3578.27,AW Arequipa,BK-R93R-62,ethan31@adventure-works.com
05/15/2015,SO46215,1,3578.27,AW Arequipa,BK-R93R-62,curtis11@adventure-works.com
05/12/2015,SO46188,1,3578.27,AW Arequipa,BK-R93R-62,maurice23@adventure-works.com
05/01/2015,SO46117,1,3578.27,AW Arequipa,BK-R93R-62,clayton35@adventure-works.com
05/28/2015,SO46308,1,3578.27,AW Arequipa,BK-R93R-62,fernando59@adventure-works.com
06/27/2015,SO46583,1,3578.27,AW Arequipa,BK-R93R-62,jerome18@adventure-works.com
06/04/2015,SO46415,1,3578.27,AW Arequipa,BK-R93R-62,raymond9@adventure-works.com
01/03/2015,SO45094,1,3578.27,AW Mall del Sur,BK-R93R-62,oscar16@adventure-works.com
04/15/2015,SO45898,1,3578.27,AW Mall del Sur,BK-R93R-62,cameron31@adventure-works.com
04/28/2015,SO45995,1,3578.27,AW Mall del Sur,BK-R93R-62,aidan23@adventure-works.com
04/03/2015,SO45826,1,3578.27,AW Mall del Sur,BK-R93R-62,jonathan8@adventure-works.com
05/09/2015,SO46171,1,3578.27,AW Mall del Sur,BK-R93R-62,evan31@adventure-works.com
06/23/2015,SO46545,1,3578.27,AW Mall del Sur,BK-R93R-62,juan25@adventure-works.com
02/11/2015,SO45417,1,3578.27,AW Mall del Sur,BK-R93R-62,cole11@adventure-works.com
02/02/2015,SO45353,1,3578.27,AW Mall del Sur,BK-R93R-62,jack24@adventure-works.com
01/06/2015,SO45103,1,3578.27,AW Comas,BK-R93R-62,richard84@adventure-works.com
01/08/2015,SO45114,1,3578.27,AW Comas,BK-R93R-62,ian45@adventure-works.com
01/31/2015,SO45260,1,3578.27,AW Comas,BK-R93R-62,wyatt49@adventure-works.com
01/05/2015,SO45102,1,3578.27,AW Breña,BK-R93R-62,miguel31@adventure-works.com
02/07/2015,SO45387,1,3578.27,AW Comas,BK-R93R-62,tiffany3@adventure-works.com
02/10/2015,SO45404,1,3578.27,AW Comas,BK-R93R-62,natalie58@adventure-works.com
03/07/2015,SO45626,1,3578.27,AW Comas,BK-R93R-62,victoria24@adventure-works.com
03/05/2015,SO45610,1,3578.27,AW Comas,BK-R93R-62,julia72@adventure-works.com
03/12/2015,SO45649,1,3578.27,AW Breña,BK-R93R-62,jade13@adventure-works.com
02/24/2015,SO45482,1,3578.27,AW Lurin,BK-R93R-62,brandy16@adventure-works.com
03/02/2015,SO45587,1,3578.27,AW Breña,BK-R93R-62,nina7@adventure-works.com
04/12/2015,SO45878,1,3578.27,AW Lurin,BK-R93R-62,teresa15@adventure-works.com
04/15/2015,SO45899,1,3578.27,AW Breña,BK-R93R-62,morgan29@adventure-works.com
04/18/2015,SO45929,1,3578.27,AW Breña,BK-R93R-62,aimee17@adventure-works.com
04/29/2015,SO46000,1,3578.27,AW Comas,BK-R93R-62,haley24@adventure-works.com
04/29/2015,SO46002,1,3578.27,AW Breña,BK-R93R-62,jessie6@adventure-works.com
05/03/2015,SO46125,1,3578.27,AW Breña,BK-R93R-62,alexandria27@adventure-works.com
05/06/2015,SO46148,1,3578.27,AW Breña,BK-R93R-62,makayla11@adventure-works.com
05/07/2015,SO46155,1,3578.27,AW Breña,BK-R93R-62,chloe80@adventure-works.com
05/08/2015,SO46165,1,3578.27,AW Comas,BK-R93R-62,kaitlyn45@adventure-works.com
05/09/2015,SO46172,1,3578.27,AW Comas,BK-R93R-62,ana12@adventure-works.com
05/13/2015,SO46196,1,3578.27,AW Comas,BK-R93R-62,morgan85@adventure-works.com
05/17/2015,SO46231,1,3578.27,AW Breña,BK-R93R-62,meredith40@adventure-works.com
05/18/2015,SO46244,1,3578.27,AW Lurin,BK-R93R-62,beth10@adventure-works.com
05/20/2015,SO46254,1,3578.27,AW Breña,BK-R93R-62,caitlin1@adventure-works.com
05/21/2015,SO46263,1,3578.27,AW Lurin,BK-R93R-62,kelsey2@adventure-works.com
05/27/2015,SO46302,1,3578.27,AW Comas,BK-R93R-62,kayla43@adventure-works.com
06/11/2015,SO46458,1,3578.27,AW Breña,BK-R93R-62,morgan33@adventure-works.com
06/18/2015,SO46503,1,3578.27,AW Comas,BK-R93R-62,alexandra77@adventure-works.com
06/18/2015,SO46499,1,3578.27,AW Comas,BK-R93R-62,alexis3@adventure-works.com
06/18/2015,SO46497,1,3578.27,AW Lurin,BK-R93R-62,karen21@adventure-works.com
06/19/2015,SO46509,1,3578.27,AW Breña,BK-R93R-62,jocelyn10@adventure-works.com
06/21/2015,SO46531,1,3578.27,AW Comas,BK-R93R-62,sarah17@adventure-works.com
06/22/2015,SO46538,1,3578.27,AW Breña,BK-R93R-62,kristen13@adventure-works.com
